"DistTypeID","DistTypeName","OnOffSwitch","Description","IsStandReplacing","IsMultiYear","MultiYearCount"
80,"SBW for young fir stands  - Impact Type 5",0,"Non-stand replacing Spruce Bud Worm Impact Type 5 for young fir stands  (<= 60 years old). Effects of impact type vary by region.",0,1,28
81,"SBW for young fir stands  - Impact Type 6",0,"Non-stand replacing Spruce Bud Worm Impact Type 6 for young fir stands  (<= 60 years old). Effects of impact type vary by region.",0,1,28
82,"SBW for young fir stands  - Impact Type 7",0,"Non-stand replacing Spruce Bud Worm Impact Type 7 for young fir stands  (<= 60 years old). Effects of impact type vary by region.",0,1,28
83,"SBW for young fir stands  - Impact Type 8",0,"Non-stand replacing Spruce Bud Worm Impact Type 8 for young fir stands  (<= 60 years old). Effects of impact type vary by region.",0,1,28
84,"SBW for young fir stands  - Impact Type 9",0,"Non-stand replacing Spruce Bud Worm Impact Type 9 for young fir stands  (<= 60 years old). Effects of impact type vary by region.",0,1,28
85,"SBW for young fir stands  - Impact Type 10",0,"Non-stand replacing Spruce Bud Worm Impact Type 10 for young fir stands  (<= 60 years old). Effects of impact type vary by region.",0,1,28
86,"SBW for young fir stands  - Impact Type 11",0,"Non-stand replacing Spruce Bud Worm Impact Type 11 for young fir stands  (<= 60 years old). Effects of impact type vary by region.",0,1,28
87,"SBW for young fir stands  - Impact Type 12",0,"Non-stand replacing Spruce Bud Worm Impact Type 12 for young fir stands  (<= 60 years old). Effects of impact type vary by region.",0,1,28
88,"SBW for young fir stands  - Impact Type 13",0,"Non-stand replacing Spruce Bud Worm Impact Type 13 for young fir stands  (<= 60 years old). Effects of impact type vary by region.",0,1,28
89,"SBW for young fir stands  - Impact Type 14",0,"Non-stand replacing Spruce Bud Worm Impact Type 14 for young fir stands  (<= 60 years old). Effects of impact type vary by region.",0,1,28
90,"SBW for young fir stands  - Impact Type 15",0,"Non-stand replacing Spruce Bud Worm Impact Type 15 for young fir stands  (<= 60 years old). Effects of impact type vary by region.",0,1,28
91,"SBW for young fir stands  - Impact Type 16",0,"Non-stand replacing Spruce Bud Worm Impact Type 16 for young fir stands  (<= 60 years old). Effects of impact type vary by region.",0,1,28
92,"SBW for young fir stands  - Impact Type 17",0,"Non-stand replacing Spruce Bud Worm Impact Type 17 for young fir stands  (<= 60 years old). Effects of impact type vary by region.",0,1,28
93,"SBW for young fir stands  - Impact Type 18",0,"Non-stand replacing Spruce Bud Worm Impact Type 18 for young fir stands  (<= 60 years old). Effects of impact type vary by region.",0,1,28
94,"SBW for young fir stands  - Impact Type 19",0,"Non-stand replacing Spruce Bud Worm Impact Type 19 for young fir stands  (<= 60 years old). Effects of impact type vary by region.",0,1,28
95,"SBW for young fir stands  - Impact Type 20",0,"Non-stand replacing Spruce Bud Worm Impact Type 20 for young fir stands  (<= 60 years old). Effects of impact type vary by region.",0,1,28
96,"SBW for young fir stands  - Impact Type 21",0,"Non-stand replacing Spruce Bud Worm Impact Type 21 for young fir stands  (<= 60 years old). Effects of impact type vary by region.",0,1,28
97,"SBW for young fir stands  - Impact Type 22",0,"Non-stand replacing Spruce Bud Worm Impact Type 22 for young fir stands  (<= 60 years old). Effects of impact type vary by region.",0,1,28
98,"SBW for young fir stands  - Impact Type 23",0,"Non-stand replacing Spruce Bud Worm Impact Type 23 for young fir stands  (<= 60 years old). Effects of impact type vary by region.",0,1,28
99,"SBW for young fir stands  - Impact Type 24",0,"Non-stand replacing Spruce Bud Worm Impact Type 24 for young fir stands  (<= 60 years old). Effects of impact type vary by region.",0,1,28
100,"SBW for young fir stands  - Impact Type 25",0,"Non-stand replacing Spruce Bud Worm Impact Type 25 for young fir stands  (<= 60 years old). Effects of impact type vary by region.",0,1,28
101,"SBW for young fir stands  - Impact Type 26",0,"Non-stand replacing Spruce Bud Worm Impact Type 26 for young fir stands  (<= 60 years old). Effects of impact type vary by region.",0,1,28
102,"SBW for young fir stands  - Impact Type 27",0,"Non-stand replacing Spruce Bud Worm Impact Type 27 for young fir stands  (<= 60 years old). Effects of impact type vary by region.",0,1,28
103,"SBW for old fir stands  - Impact Type 1",0,"Non-stand replacing Spruce Bud Worm Impact Type 1 for old fir stands  (>60 years old). Effects of impact type vary by region.",0,1,28
104,"SBW for old fir stands  - Impact Type 2",0,"Non-stand replacing Spruce Bud Worm Impact Type 2 for old fir stands  (>60 years old). Effects of impact type vary by region.",0,1,28
105,"SBW for old fir stands  - Impact Type 3",0,"Non-stand replacing Spruce Bud Worm Impact Type 3 for old fir stands  (>60 years old). Effects of impact type vary by region.",0,1,28
106,"SBW for old fir stands  - Impact Type 4",0,"Non-stand replacing Spruce Bud Worm Impact Type 4 for old fir stands  (>60 years old). Effects of impact type vary by region.",0,1,28
107,"SBW for old fir stands  - Impact Type 5",0,"Non-stand replacing Spruce Bud Worm Impact Type 5 for old fir stands  (>60 years old). Effects of impact type vary by region.",0,1,28
108,"SBW for old fir stands  - Impact Type 6",0,"Non-stand replacing Spruce Bud Worm Impact Type 6 for old fir stands  (>60 years old). Effects of impact type vary by region.",0,1,28
109,"SBW for old fir stands  - Impact Type 7",0,"Non-stand replacing Spruce Bud Worm Impact Type 7 for old fir stands  (>60 years old). Effects of impact type vary by region.",0,1,28
110,"SBW for old fir stands  - Impact Type 8",0,"Non-stand replacing Spruce Bud Worm Impact Type 8 for old fir stands  (>60 years old). Effects of impact type vary by region.",0,1,28
111,"SBW for old fir stands  - Impact Type 9",0,"Non-stand replacing Spruce Bud Worm Impact Type 9 for old fir stands  (>60 years old). Effects of impact type vary by region.",0,1,28
112,"SBW for old fir stands  - Impact Type 10",0,"Non-stand replacing Spruce Bud Worm Impact Type 10 for old fir stands  (>60 years old). Effects of impact type vary by region.",0,1,28
113,"SBW for old fir stands  - Impact Type 11",0,"Non-stand replacing Spruce Bud Worm Impact Type 11 for old fir stands  (>60 years old). Effects of impact type vary by region.",0,1,28
114,"SBW for old fir stands  - Impact Type 12",0,"Non-stand replacing Spruce Bud Worm Impact Type 12 for old fir stands  (>60 years old). Effects of impact type vary by region.",0,1,28
115,"SBW for old fir stands  - Impact Type 13",0,"Non-stand replacing Spruce Bud Worm Impact Type 13 for old fir stands  (>60 years old). Effects of impact type vary by region.",0,1,28
116,"SBW for old fir stands  - Impact Type 14",0,"Non-stand replacing Spruce Bud Worm Impact Type 14 for old fir stands  (>60 years old). Effects of impact type vary by region.",0,1,28
117,"SBW for old fir stands  - Impact Type 15",0,"Non-stand replacing Spruce Bud Worm Impact Type 15 for old fir stands  (>60 years old). Effects of impact type vary by region.",0,1,28
118,"SBW for old fir stands  - Impact Type 16",0,"Non-stand replacing Spruce Bud Worm Impact Type 16 for old fir stands  (>60 years old). Effects of impact type vary by region.",0,1,28
119,"SBW for old fir stands  - Impact Type 17",0,"Non-stand replacing Spruce Bud Worm Impact Type 17 for old fir stands  (>60 years old). Effects of impact type vary by region.",0,1,28
120,"SBW for old fir stands  - Impact Type 18",0,"Non-stand replacing Spruce Bud Worm Impact Type 18 for old fir stands  (>60 years old). Effects of impact type vary by region.",0,1,28
121,"SBW for old fir stands  - Impact Type 19",0,"Non-stand replacing Spruce Bud Worm Impact Type 19 for old fir stands  (>60 years old). Effects of impact type vary by region.",0,1,28
122,"SBW for old fir stands  - Impact Type 20",0,"Non-stand replacing Spruce Bud Worm Impact Type 20 for old fir stands  (>60 years old). Effects of impact type vary by region.",0,1,28
123,"SBW for old fir stands  - Impact Type 21",0,"Non-stand replacing Spruce Bud Worm Impact Type 21 for old fir stands  (>60 years old). Effects of impact type vary by region.",0,1,28
124,"SBW for old fir stands  - Impact Type 22",0,"Non-stand replacing Spruce Bud Worm Impact Type 22 for old fir stands  (>60 years old). Effects of impact type vary by region.",0,1,28
125,"SBW for old fir stands  - Impact Type 23",0,"Non-stand replacing Spruce Bud Worm Impact Type 23 for old fir stands  (>60 years old). Effects of impact type vary by region.",0,1,28
126,"SBW for old fir stands  - Impact Type 24",0,"Non-stand replacing Spruce Bud Worm Impact Type 24 for old fir stands  (>60 years old). Effects of impact type vary by region.",0,1,28
127,"SBW for old fir stands  - Impact Type 25",0,"Non-stand replacing Spruce Bud Worm Impact Type 25 for old fir stands  (>60 years old). Effects of impact type vary by region.",0,1,28
128,"SBW for old fir stands  - Impact Type 26",0,"Non-stand replacing Spruce Bud Worm Impact Type 26 for old fir stands  (>60 years old). Effects of impact type vary by region.",0,1,28
129,"SBW for old fir stands  - Impact Type 27",0,"Non-stand replacing Spruce Bud Worm Impact Type 27 for old fir stands  (>60 years old). Effects of impact type vary by region.",0,1,28
130,"Salvage logging after fire",0,"Salvage logging on areas burned by fire.",1,0,0
131,"Salvage logging after insects",0,"Salvage logging on areas with significant insect mortality. Note that this salvage also involves clearcut of green wood as part of the salvage operation.",1,0,0
132,"eastern Hemlock Looper Light defoliation",0,"eastern Hemlock Looper Light defoliation",0,0,0
