"DefaultEcoBoundaryID","DefaultDisturbanceTypeID","DefaultSpeciesTypeID","AnnualOrder","GrowthMultiplier"
4,23,2,11,1.00
4,23,2,12,1.00
4,23,2,13,1.00
4,23,2,14,1.00
4,23,2,15,1.00
4,23,2,16,1.00
4,23,2,17,1.00
4,23,2,18,1.00
4,23,2,19,1.00
4,23,2,20,1.00
4,23,2,21,1.00
4,23,2,22,1.00
4,23,2,23,1.00
4,23,2,24,1.00
4,23,2,25,1.00
4,23,2,26,1.00
4,23,2,27,1.00
4,23,2,28,1.00
4,24,1,1,0.87
4,24,1,2,0.62
4,24,1,3,0.42
4,24,1,4,0.34
4,24,1,5,0.24
4,24,1,6,0.14
4,24,1,7,0.14
4,24,1,8,0.34
4,24,1,9,0.24
4,24,1,10,0.24
4,24,1,11,0.24
4,24,1,12,0.34
4,24,1,13,0.34
4,24,1,14,0.34
4,24,1,15,0.34
4,24,1,16,0.42
4,24,1,17,0.50
4,24,1,18,0.62
4,24,1,19,0.62
4,24,1,20,0.62
4,24,1,21,0.42
4,24,1,22,0.34
4,24,1,23,0.24
4,24,1,24,0.42
4,24,1,25,0.62
4,24,1,26,0.87
4,24,1,27,0.92
4,24,1,28,1.00
4,24,2,1,1.00
4,24,2,2,1.00
4,24,2,3,1.00
4,24,2,4,1.00
4,24,2,5,1.00
4,24,2,6,1.00
4,24,2,7,1.00
4,24,2,8,1.00
4,24,2,9,1.00
4,24,2,10,1.00
4,24,2,11,1.00
4,24,2,12,1.00
4,24,2,13,1.00
4,24,2,14,1.00
4,24,2,15,1.00
4,24,2,16,1.00
4,24,2,17,1.00
4,24,2,18,1.00
4,24,2,19,1.00
4,24,2,20,1.00
4,24,2,21,1.00
4,24,2,22,1.00
4,24,2,23,1.00
4,24,2,24,1.00
4,24,2,25,1.00
4,24,2,26,1.00
4,24,2,27,1.00
4,24,2,28,1.00
4,25,1,1,0.87
4,25,1,2,0.62
4,25,1,3,0.42
4,25,1,4,0.42
4,25,1,5,0.42
4,25,1,6,0.42
4,25,1,7,0.34
4,25,1,8,0.34
4,25,1,9,0.34
4,25,1,10,0.34
4,25,1,11,0.34
4,25,1,12,0.42
4,25,1,13,0.50
4,25,1,14,0.50
4,25,1,15,0.50
4,25,1,16,0.42
4,25,1,17,0.42
4,25,1,18,0.62
4,25,1,19,0.74
4,25,1,20,0.87
4,25,1,21,0.92
4,25,1,22,1.00
4,25,1,23,1.00
4,25,1,24,1.00
4,25,1,25,1.00
4,25,1,26,1.00
4,25,1,27,1.00
4,25,1,28,1.00
4,25,2,1,1.00
4,25,2,2,1.00
4,25,2,3,1.00
4,25,2,4,1.00
4,25,2,5,1.00
4,25,2,6,1.00
4,25,2,7,1.00
4,25,2,8,1.00
4,25,2,9,1.00
