"DefaultSPUID","DefaultSpeciesTypeID","A","B","a_nonmerch","b_nonmerch","k_nonmerch","cap_nonmerch","a_sap","b_sap","k_sap","cap_sap","a1","a2","a3","b1","b2","b3","c1","c2","c3","min_volume","max_volume","low_stemwood_prop","high_stemwood_prop","low_stembark_prop","high_stembark_prop","low_branches_prop","high_branches_prop","low_foliage_prop","high_foliage_prop"
30,149,1.23,0.81,11.97,-1.08,0.95,2.54,0.00,0.00,1.00,1.00,-1.75,-6.47e-04,-6.81e-03,-2.14,-7.1e-04,0.12,-2.95,-1.46e-03,0.04,2.08,384.37,0.72,0.73,0.12,0.09,0.10,0.13,0.04,0.02
30,171,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
31,2,0.55,0.98,11.65,-0.49,0.06,5.24,100.00,-2.17,0.99,4.09,-1.37,7.878e-03,-0.18,-2.45,-0.01,0.10,-0.12,0.04,-0.93,0.21,27.48,0.67,0.73,0.12,0.11,0.06,0.06,0.12,0.08
31,6,0.94,0.84,100.00,-1.36,0.89,1.67,100.00,-2.17,0.99,4.09,-2.97,-1.34e-03,0.24,-4.65,-3.7e-03,0.53,1.25,1.71e-03,-0.73,70.33,509.04,0.72,0.79,0.09,0.09,0.05,0.03,0.12,0.06
31,14,1.21,0.82,100.00,-1.49,0.93,1.15,100.00,-1.61,0.97,1.51,3.06,6.394e-03,-1.23,-3.27,-4.39e-03,0.35,-0.26,2.27e-03,-0.55,82.95,322.91,0.74,0.78,0.10,0.10,0.09,0.05,0.05,0.05
31,15,1.21,0.82,100.00,-1.49,0.93,1.15,100.00,-1.61,0.97,1.51,3.06,6.394e-03,-1.23,-3.27,-4.39e-03,0.35,-0.26,2.27e-03,-0.55,82.95,322.91,0.74,0.78,0.10,0.10,0.09,0.05,0.05,0.05
31,29,0.39,0.99,1.35,-0.05,0.00,1.28,26.22,-1.78,0.99,1.11,-1.15,7.4e-04,-0.17,0.55,5.3e-04,-0.40,-0.33,-6.0e-05,-0.31,7.78,423.80,0.46,0.69,0.09,0.10,0.29,0.12,0.15,0.07
31,41,0.73,0.91,4.69,-0.62,0.82,1.19,100.00,-1.68,0.98,1.06,-2.40,-6.39e-04,0.16,0.70,1.1e-03,-0.40,4.42,3.63e-03,-1.26,127.45,477.88,0.55,0.59,0.10,0.11,0.18,0.17,0.15,0.11
31,43,0.58,0.95,2.42,-0.52,0.94,2.01,2.78,-2.10,1.10,1.20,-1.11,3.212e-03,-0.25,-0.60,-1.02e-03,-0.18,-1.24,-2.0e-03,-0.23,1.68,199.54,0.56,0.71,0.11,0.11,0.21,0.12,0.10,0.04
31,44,0.58,0.95,2.42,-0.52,0.94,2.01,2.78,-2.10,1.10,1.20,-1.11,3.212e-03,-0.25,-0.60,-1.02e-03,-0.18,-1.24,-2.0e-03,-0.23,1.68,199.54,0.56,0.71,0.11,0.11,0.21,0.12,0.10,0.04
31,62,0.56,0.94,19.94,-0.93,0.80,2.66,100.00,-1.41,0.87,1.56,-1.19,7.9e-05,-0.08,-4.83,-2.76e-03,0.53,-5.05,-3.12e-03,0.48,28.24,451.74,0.76,0.78,0.17,0.14,0.03,0.04,0.02,0.02
31,63,0.56,0.94,19.94,-0.93,0.80,2.66,100.00,-1.41,0.87,1.56,-1.19,7.9e-05,-0.08,-4.83,-2.76e-03,0.53,-5.05,-3.12e-03,0.48,28.24,451.74,0.76,0.78,0.17,0.14,0.03,0.04,0.02,0.02
31,65,0.40,0.97,1.06,-0.01,0.00,1.01,100.00,-1.41,0.87,1.56,-1.19,7.9e-05,-0.08,-4.83,-2.76e-03,0.53,-5.05,-3.12e-03,0.48,28.24,451.74,0.76,0.78,0.17,0.14,0.03,0.04,0.02,0.02
31,76,0.74,0.92,24.78,-0.77,0.26,2.91,100.00,-1.01,0.06,1.90,-1.72,-1.364e-03,0.02,-3.44,-8.78e-03,0.60,-2.33,5.52e-03,-0.22,20.68,154.95,0.69,0.70,0.12,0.11,0.13,0.12,0.03,0.05
31,171,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
31,174,1.21,0.82,100.00,-1.44,0.90,1.35,100.00,-1.61,0.97,1.51,3.06,6.394e-03,-1.23,-3.27,-4.39e-03,0.35,-0.26,2.27e-03,-0.55,82.95,322.91,0.74,0.78,0.10,0.10,0.09,0.05,0.05,0.05
32,2,0.58,0.96,11.65,-0.49,0.06,5.24,7.99,-0.93,0.94,1.37,-1.39,-6.43e-04,-0.07,-1.25,-1.0e-03,-0.07,-0.86,-2.68e-03,-0.10,0.76,392.98,0.55,0.75,0.11,0.09,0.13,0.09,0.19,0.05
32,6,0.46,0.97,1.28,-0.04,0.00,1.22,7.99,-0.93,0.94,1.37,-1.59,3.14e-04,-0.07,-0.01,-2.6e-04,-0.30,1.06,2.0e-05,-0.61,7.66,658.35,0.44,0.75,0.07,0.11,0.20,0.08,0.27,0.04
32,14,0.42,1.02,14.50,-1.04,0.93,4.54,100.00,-1.61,0.97,1.51,-1.71,-1.643e-03,-0.07,-1.87,-4.8e-04,-0.08,-1.52,-1.73e-03,-0.22,0.52,228.62,0.69,0.82,0.11,0.06,0.09,0.06,0.10,0.03
32,15,0.61,0.94,24.12,-0.82,0.67,7.71,100.00,-1.61,0.97,1.51,-1.79,-1.55e-04,-0.07,-1.92,-6.5e-04,-0.02,-1.99,-1.68e-03,-0.04,0.63,643.08,0.70,0.82,0.10,0.07,0.09,0.06,0.08,0.02
32,29,0.39,0.99,1.35,-0.05,0.00,1.28,26.22,-1.78,0.99,1.11,-1.15,7.4e-04,-0.17,0.55,5.3e-04,-0.40,-0.33,-6.0e-05,-0.31,7.78,423.80,0.46,0.69,0.09,0.10,0.29,0.12,0.15,0.07
32,41,0.73,0.91,4.69,-0.62,0.82,1.19,100.00,-1.68,0.98,1.06,-2.40,-6.39e-04,0.16,0.70,1.1e-03,-0.40,4.42,3.63e-03,-1.26,127.45,477.88,0.55,0.59,0.10,0.11,0.18,0.17,0.15,0.11
