"DefaultSPUID","DefaultSpeciesTypeID","A","B","a_nonmerch","b_nonmerch","k_nonmerch","cap_nonmerch","a_sap","b_sap","k_sap","cap_sap","a1","a2","a3","b1","b2","b3","c1","c2","c3","min_volume","max_volume","low_stemwood_prop","high_stemwood_prop","low_stembark_prop","high_stembark_prop","low_branches_prop","high_branches_prop","low_foliage_prop","high_foliage_prop"
5,61,0.51,0.95,5.43,-0.87,0.93,2.75,0.00,0.00,1.00,1.00,-1.37,-2.83e-04,-0.07,0.66,1.16e-03,-0.41,0.02,1.8e-04,-0.38,0.13,1061.85,0.36,0.63,0.08,0.07,0.35,0.23,0.19,0.05
5,62,0.51,0.98,41.89,-1.74,1.15,4.44,0.00,0.00,1.00,1.00,-1.48,-1.137e-03,5.38e-03,-1.42,-1.6e-04,0.02,-2.46,-4.6e-04,-0.05,0.32,532.21,0.64,0.69,0.14,0.08,0.16,0.18,0.04,0.03
5,63,0.51,0.98,100.00,-1.16,0.51,4.72,0.00,0.00,1.00,1.00,-1.48,-1.137e-03,5.38e-03,-1.42,-1.6e-04,0.02,-2.46,-4.6e-04,-0.05,0.32,532.21,0.64,0.69,0.14,0.08,0.16,0.18,0.04,0.03
5,68,0.43,1.01,100.00,-1.47,0.98,1.38,0.00,0.00,1.00,1.00,-0.78,-3.26e-04,-0.11,-0.79,4.8e-04,-0.13,-1.38,-7.0e-05,-0.26,0.66,501.69,0.52,0.67,0.19,0.13,0.18,0.16,0.08,0.03
5,74,0.49,1.04,76.78,-1.54,0.97,3.98,0.00,0.00,1.00,1.00,-1.14,5.66e-04,-0.13,0.67,1.01e-03,-0.29,-1.44,-4.8e-04,-0.23,0.36,534.85,0.38,0.56,0.09,0.10,0.46,0.30,0.06,0.02
5,76,0.60,0.98,19.27,-0.94,0.83,3.21,0.00,0.00,1.00,1.00,-1.41,5.0e-05,-0.08,0.76,2.5e-03,-0.43,-1.76,1.0e-04,-0.15,0.13,574.22,0.41,0.55,0.08,0.08,0.44,0.32,0.05,0.03
5,77,0.79,0.91,19.27,-0.94,0.83,3.21,0.00,0.00,1.00,1.00,-1.74,-4.13e-03,0.06,-1.17,1.0e-05,-0.04,-2.31,-3.81e-03,-0.03,1.04,100.49,0.63,0.68,0.12,0.10,0.18,0.17,0.05,0.03
5,82,0.67,1.00,35.80,-1.25,0.94,1.33,0.00,0.00,1.00,1.00,-0.78,1.507e-03,-0.28,1.20,1.87e-03,-0.49,-0.25,1.88e-03,-0.58,0.62,398.34,0.33,0.64,0.09,0.09,0.47,0.22,0.09,0.03
5,86,0.51,1.01,78.16,-1.61,0.98,3.90,0.00,0.00,1.00,1.00,-1.00,2.19e-04,-0.17,-0.52,3.2e-04,-0.13,-2.12,-8.8e-04,-0.07,0.18,566.04,0.53,0.67,0.14,0.09,0.25,0.20,0.05,0.02
5,93,0.45,1.06,20.51,-0.94,0.79,5.71,0.00,0.00,1.00,1.00,-1.07,-4.31e-04,-0.17,-1.02,-7.0e-05,0.01,-1.98,-1.33e-03,-0.10,0.29,652.11,0.57,0.67,0.14,0.05,0.21,0.25,0.06,0.01
5,94,0.45,1.06,38.25,-1.56,0.99,4.50,0.00,0.00,1.00,1.00,-1.07,-4.31e-04,-0.17,-1.02,-7.0e-05,0.01,-1.98,-1.33e-03,-0.10,0.29,652.11,0.57,0.67,0.14,0.05,0.21,0.25,0.06,0.01
5,108,0.56,1.02,1.65,-0.09,0.00,1.09,0.00,0.00,1.00,1.00,-2.25,-7.33e-04,0.03,-0.39,1.8e-04,-0.10,-2.44,-1.41e-03,-0.02,0.29,652.11,0.56,0.66,0.06,0.05,0.32,0.25,0.04,0.01
5,109,0.72,0.94,20.51,-0.94,0.79,5.71,0.00,0.00,1.00,1.00,-0.74,8.28e-04,-0.19,-1.38,-1.33e-03,0.09,-1.73,-6.6e-04,-0.16,0.90,305.72,0.56,0.64,0.18,0.12,0.16,0.18,0.07,0.03
5,117,0.72,0.94,3.16,-0.60,0.86,1.58,0.00,0.00,1.00,1.00,-0.74,8.28e-04,-0.19,-1.38,-1.33e-03,0.09,-1.73,-6.6e-04,-0.16,0.90,305.72,0.56,0.64,0.18,0.12,0.16,0.18,0.07,0.03
5,122,0.79,0.93,100.00,-2.90,1.06,1.08,0.00,0.00,1.00,1.00,-3.05,-3.057e-03,0.35,-0.41,-3.5e-04,-0.11,-4.33,-4.36e-03,0.54,33.97,310.62,0.60,0.65,0.09,0.09,0.25,0.19,0.05,0.05
5,131,1.75,0.68,46.22,-1.42,0.94,2.80,0.00,0.00,1.00,1.00,-1.07,-4.31e-04,-0.17,-1.02,-7.0e-05,0.01,-1.98,-1.33e-03,-0.10,0.29,652.11,0.57,0.67,0.14,0.05,0.21,0.25,0.06,0.01
5,134,0.41,1.06,46.22,-1.42,0.94,2.80,0.00,0.00,1.00,1.00,-1.07,-4.31e-04,-0.17,-1.02,-7.0e-05,0.01,-1.98,-1.33e-03,-0.10,0.29,652.11,0.57,0.67,0.14,0.05,0.21,0.25,0.06,0.01
5,143,0.55,1.01,100.00,-1.95,1.03,1.08,0.00,0.00,1.00,1.00,-2.07,-3.77e-04,0.02,-0.62,-1.14e-03,-0.08,-2.24,-2.87e-03,-6.73e-03,0.99,312.37,0.58,0.71,0.07,0.09,0.27,0.16,0.06,0.02
5,145,0.55,1.01,100.00,-1.95,1.03,1.08,0.00,0.00,1.00,1.00,-2.07,-3.77e-04,0.02,-0.62,-1.14e-03,-0.08,-2.24,-2.87e-03,-6.73e-03,0.99,312.37,0.58,0.71,0.07,0.09,0.27,0.16,0.06,0.02
5,169,0.45,1.06,20.51,-0.94,0.79,5.71,0.00,0.00,1.00,1.00,-1.07,-4.31e-04,-0.17,-1.02,-7.0e-05,0.01,-1.98,-1.33e-03,-0.10,0.29,652.11,0.57,0.67,0.14,0.05,0.21,0.25,0.06,0.01
5,170,0.46,1.00,10.55,-0.68,0.64,4.54,0.00,0.00,1.00,1.00,-1.10,-3.36e-04,-0.07,-1.24,-4.0e-05,-0.01,-2.11,-3.3e-04,-0.12,0.32,532.21,0.59,0.68,0.17,0.11,0.16,0.17,0.05,0.03
5,171,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,2,0.53,0.96,6.34,-0.96,0.94,2.58,0.00,0.00,1.00,1.00,-1.47,4.3e-04,-0.10,0.14,-2.4e-04,-0.24,0.76,-3.43e-03,-0.35,0.35,274.49,0.31,0.65,0.06,0.09,0.24,0.17,0.37,0.07
6,3,0.41,1.00,8.78,-1.08,0.97,3.16,0.00,0.00,1.00,1.00,-0.05,-1.16e-04,-0.31,-1.44,1.28e-03,-0.08,-0.42,-6.2e-04,-0.27,4.66,239.05,0.49,0.67,0.23,0.11,0.09,0.13,0.17,0.08
6,6,0.55,0.95,4.80,-0.61,0.71,3.71,0.00,0.00,1.00,1.00,-0.96,9.15e-04,-0.22,0.31,1.61e-03,-0.36,1.65,2.88e-03,-0.76,1.16,353.65,0.30,0.63,0.07,0.08,0.21,0.17,0.39,0.10
6,13,0.58,0.92,7.75,-1.23,0.98,4.51,0.00,0.00,1.00,1.00,-1.44,-1.038e-03,-0.01,-1.00,1.78e-03,-0.14,-0.89,-1.93e-03,-0.13,0.64,383.65,0.54,0.65,0.12,0.09,0.15,0.20,0.17,0.05
6,20,0.69,0.90,3.26,-0.83,0.94,2.12,0.00,0.00,1.00,1.00,-1.06,-4.51e-04,-0.17,-0.09,-1.58e-03,-0.28,-0.49,-1.62e-03,-0.28,0.33,643.48,0.45,0.85,0.11,0.07,0.25,0.04,0.17,0.02
6,22,2.11,0.71,100.00,-2.02,0.99,1.01,0.00,0.00,1.00,1.00,-1.06,-4.51e-04,-0.17,-0.09,-1.58e-03,-0.28,-0.49,-1.62e-03,-0.28,0.33,643.48,0.45,0.85,0.11,0.07,0.25,0.04,0.17,0.02
6,29,0.49,0.99,18.87,-0.99,0.87,5.15,0.00,0.00,1.00,1.00,-0.08,7.48e-04,-0.32,-0.95,0.00,-0.06,0.78,-1.26e-03,-0.49,4.50,324.12,0.40,0.65,0.17,0.11,0.13,0.17,0.28,0.05
6,37,0.42,1.01,100.00,-2.23,1.00,1.01,0.00,0.00,1.00,1.00,-1.03,1.83e-04,-0.15,-0.52,2.5e-04,-0.14,-0.97,2.3e-04,-0.22,2.63,1061.85,0.51,0.65,0.13,0.09,0.22,0.18,0.12,0.06
6,44,1.00,0.85,13.83,-1.03,0.89,3.80,0.00,0.00,1.00,1.00,-0.86,8.95e-04,-0.27,-0.05,2.03e-03,-0.35,0.83,3.85e-03,-0.77,1.95,315.35,0.44,0.69,0.11,0.08,0.21,0.16,0.22,0.06
6,47,1.15,0.82,100.00,-2.17,0.99,1.05,0.00,0.00,1.00,1.00,-0.86,8.95e-04,-0.27,-0.05,2.03e-03,-0.35,0.83,3.85e-03,-0.77,1.95,315.35,0.44,0.69,0.11,0.08,0.21,0.16,0.22,0.06
6,49,0.48,0.94,4.69,-0.35,0.00,1.90,0.00,0.00,1.00,1.00,0.03,1.983e-03,-0.40,2.62,3.54e-03,-0.86,2.02,-1.37e-03,-0.64,37.44,263.22,0.40,0.62,0.09,0.11,0.24,0.16,0.25,0.09
6,62,0.67,0.94,41.89,-1.74,1.15,4.44,0.00,0.00,1.00,1.00,-1.28,6.09e-04,-0.07,-2.10,-6.9e-04,0.16,-2.12,-4.9e-04,-0.07,6.80,472.97,0.66,0.65,0.15,0.14,0.11,0.15,0.06,0.03
6,63,0.77,0.90,100.00,-1.16,0.51,4.72,0.00,0.00,1.00,1.00,-0.28,1.374e-03,-0.29,-3.33,-2.69e-03,0.48,-2.00,-1.18e-03,-0.05,20.67,357.22,0.63,0.65,0.18,0.14,0.10,0.15,0.07,0.04
6,68,0.56,0.96,100.00,-1.47,0.98,1.38,0.00,0.00,1.00,1.00,-0.66,1.012e-03,-0.19,0.55,3.22e-03,-0.48,7.34,9.71e-03,-2.25,84.84,377.38,0.61,0.60,0.14,0.14,0.15,0.19,0.08,0.05
6,74,0.48,1.04,76.78,-1.54,0.97,3.98,0.00,0.00,1.00,1.00,-0.28,2.247e-03,-0.37,2.14,4.3e-03,-0.71,3.12,5.3e-03,-1.25,6.43,235.84,0.25,0.58,0.07,0.09,0.38,0.27,0.28,0.04
6,76,0.71,0.95,19.27,-0.94,0.83,3.21,0.00,0.00,1.00,1.00,-1.40,-8.8e-05,-0.07,-0.22,1.05e-03,-0.21,-0.63,1.22e-03,-0.38,12.29,294.65,0.55,0.64,0.10,0.10,0.24,0.20,0.09,0.05
6,77,1.47,0.78,100.00,-1.99,1.16,3.72,0.00,0.00,1.00,1.00,-1.72,5.91e-04,-0.03,-1.57,1.5e-04,0.01,-3.42,-4.36e-03,0.20,0.95,134.39,0.70,0.69,0.11,0.11,0.14,0.15,0.03,0.03
6,82,0.49,1.05,35.80,-1.25,0.94,1.33,0.00,0.00,1.00,1.00,0.05,2.343e-03,-0.46,5.06,6.28e-03,-1.36,13.59,0.01,-3.67,59.45,279.05,0.41,0.61,0.07,0.09,0.31,0.24,0.19,0.04
6,86,0.48,1.03,78.16,-1.61,0.98,3.90,0.00,0.00,1.00,1.00,0.17,1.608e-03,-0.43,-0.79,-5.0e-05,-0.07,-0.51,-3.8e-04,-0.39,3.61,273.63,0.47,0.66,0.22,0.10,0.18,0.19,0.12,0.03
6,92,0.59,0.96,24.75,-1.38,0.99,3.02,0.00,0.00,1.00,1.00,0.46,4.432e-03,-0.58,-0.84,-4.03e-03,0.06,-1.88,-0.01,0.28,14.91,164.88,0.47,0.64,0.14,0.10,0.23,0.19,0.14,0.04
6,94,0.58,0.95,38.25,-1.56,0.99,4.50,0.00,0.00,1.00,1.00,-0.79,2.47e-04,-0.24,0.63,0.00,-0.31,-0.44,-0.01,-0.01,0.87,310.62,0.33,0.68,0.09,0.08,0.36,0.21,0.20,0.01
6,108,0.55,1.03,1.65,-0.09,0.00,1.09,0.00,0.00,1.00,1.00,-2.25,-7.33e-04,0.03,-0.39,1.8e-04,-0.10,-2.44,-1.41e-03,-0.02,0.29,652.11,0.56,0.66,0.06,0.05,0.32,0.25,0.04,0.01
6,117,0.69,0.97,3.16,-0.60,0.86,1.58,0.00,0.00,1.00,1.00,-0.74,8.28e-04,-0.19,-1.38,-1.33e-03,0.09,-1.73,-6.6e-04,-0.16,0.90,305.72,0.56,0.64,0.18,0.12,0.16,0.18,0.07,0.03
6,121,0.79,0.93,100.00,-2.90,1.06,1.08,0.00,0.00,1.00,1.00,-3.05,-3.057e-03,0.35,-0.41,-3.5e-04,-0.11,-4.33,-4.36e-03,0.54,33.97,310.62,0.60,0.65,0.09,0.09,0.25,0.19,0.05,0.05
6,122,0.79,0.93,100.00,-2.90,1.06,1.08,0.00,0.00,1.00,1.00,-3.05,-3.057e-03,0.35,-0.41,-3.5e-04,-0.11,-4.33,-4.36e-03,0.54,33.97,310.62,0.60,0.65,0.09,0.09,0.25,0.19,0.05,0.05
6,132,0.78,0.95,16.14,-0.71,0.24,5.92,0.00,0.00,1.00,1.00,-1.49,-2.177e-03,-0.04,-0.57,-1.43e-03,-0.16,-1.33,3.64e-03,-0.23,0.87,102.73,0.55,0.66,0.11,0.09,0.23,0.14,0.09,0.08
6,145,1.02,0.89,100.00,-1.95,1.03,1.08,0.00,0.00,1.00,1.00,7.79,0.01,-2.55,1.93,5.3e-04,-0.61,19.98,0.02,-4.98,75.04,178.63,0.42,0.64,0.06,0.08,0.20,0.20,0.30,0.06
6,171,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7,1,0.61,0.92,6.91,-0.90,0.88,2.69,7.36,-1.49,0.99,1.19,-0.55,1.176e-03,-0.23,-3.45,-2.71e-03,0.56,-0.36,2.53e-03,-0.36,0.23,290.04,0.54,0.56,0.21,0.12,0.04,0.20,0.20,0.10
7,2,0.63,0.91,9.32,-1.22,1.01,2.56,7.36,-1.49,0.99,1.19,-1.47,2.41e-04,-0.09,-0.14,1.41e-03,-0.17,0.15,-1.5e-04,-0.30,0.23,315.23,0.39,0.54,0.07,0.07,0.25,0.27,0.27,0.10
7,3,0.61,0.92,6.91,-0.90,0.88,2.69,7.36,-1.49,0.99,1.19,-0.55,1.176e-03,-0.23,-3.45,-2.71e-03,0.56,-0.36,2.53e-03,-0.36,0.23,290.04,0.54,0.56,0.21,0.12,0.04,0.20,0.20,0.10
7,6,0.69,0.89,5.82,-0.98,0.94,2.45,7.36,-1.49,0.99,1.19,-1.73,1.91e-04,-0.03,-0.40,7.6e-04,-0.09,0.06,1.03e-03,-0.35,1.33,272.19,0.43,0.54,0.07,0.08,0.24,0.26,0.24,0.10
7,8,0.61,0.92,6.91,-0.90,0.88,2.69,7.36,-1.49,0.99,1.19,-0.55,1.176e-03,-0.23,-3.45,-2.71e-03,0.56,-0.36,2.53e-03,-0.36,0.23,290.04,0.54,0.56,0.21,0.12,0.04,0.20,0.20,0.10
7,9,0.69,0.89,5.82,-0.98,0.94,2.45,7.36,-1.49,0.99,1.19,-1.73,1.91e-04,-0.03,-0.40,7.6e-04,-0.09,0.06,1.03e-03,-0.35,1.33,272.19,0.43,0.54,0.07,0.08,0.24,0.26,0.24,0.10
7,13,0.95,0.81,25.19,-2.17,1.03,2.12,0.00,0.00,1.00,1.00,-1.22,-7.16e-04,-0.06,0.12,0.01,-0.39,1.05,0.01,-0.80,3.75,162.93,0.43,0.41,0.11,0.07,0.22,0.37,0.22,0.13
7,14,0.90,0.89,17.26,-1.24,0.96,2.71,0.00,0.00,1.00,1.00,-1.83,9.2e-05,-0.08,-0.92,1.09e-03,-0.10,-1.27,8.3e-04,-0.19,0.37,608.22,0.59,0.61,0.08,0.05,0.19,0.24,0.12,0.08
7,20,0.72,0.87,27.21,-2.04,1.01,2.49,0.00,0.00,1.00,1.00,-1.71,-1.03e-04,-0.03,-3.96,-4.83e-03,0.95,-1.49,1.9e-04,0.03,6.82,261.62,0.62,0.39,0.10,0.05,0.12,0.43,0.15,0.11
7,22,0.72,0.87,27.21,-2.04,1.01,2.49,0.00,0.00,1.00,1.00,-1.71,-1.03e-04,-0.03,-3.96,-4.83e-03,0.95,-1.49,1.9e-04,0.03,6.82,261.62,0.62,0.39,0.10,0.05,0.12,0.43,0.15,0.11
7,29,0.40,1.01,8.01,-0.82,0.87,3.29,24.79,-1.61,1.01,1.36,-0.90,5.38e-04,-0.15,-1.62,6.1e-04,0.10,-0.41,1.48e-03,-0.31,0.18,1001.15,0.51,0.42,0.16,0.10,0.12,0.33,0.20,0.13
7,37,1.21,0.83,1.87,-0.12,0.00,1.69,0.00,0.00,1.00,1.00,-1.77,1.7e-05,-0.02,-1.02,4.0e-04,-0.08,-1.61,3.3e-04,-0.16,3.70,421.96,0.62,0.67,0.10,0.09,0.18,0.17,0.08,0.05
7,43,0.52,0.96,23.91,-0.70,0.00,7.86,0.00,0.00,1.00,1.00,-1.33,-7.0e-06,-0.15,0.23,4.58e-03,-0.38,-1.02,4.5e-04,-0.27,2.28,197.30,0.50,0.62,0.09,0.07,0.29,0.24,0.10,0.05
7,44,0.52,0.96,23.91,-0.70,0.00,7.86,0.00,0.00,1.00,1.00,-1.33,-7.0e-06,-0.15,0.23,4.58e-03,-0.38,-1.02,4.5e-04,-0.27,2.28,197.30,0.50,0.62,0.09,0.07,0.29,0.24,0.10,0.05
7,49,0.78,0.84,3.55,-0.89,0.96,3.92,100.00,-2.57,1.00,1.04,-1.41,-4.14e-04,-0.04,-0.31,7.0e-05,-0.15,-0.79,1.66e-03,-0.23,1.70,385.42,0.48,0.59,0.10,0.09,0.26,0.18,0.13,0.12
7,62,0.29,1.11,24.81,-1.09,0.89,4.82,58.24,-1.62,1.00,1.32,-0.86,3.91e-04,-0.14,-2.76,-7.6e-04,0.34,-1.64,-3.8e-04,-0.18,0.51,1013.40,0.63,0.63,0.20,0.14,0.07,0.19,0.08,0.02
7,63,0.29,1.11,24.81,-1.09,0.89,4.82,58.24,-1.62,1.00,1.32,-0.86,3.91e-04,-0.14,-2.76,-7.6e-04,0.34,-1.64,-3.8e-04,-0.18,0.51,1013.40,0.63,0.63,0.20,0.14,0.07,0.19,0.08,0.02
7,65,1.85,0.72,33.22,-1.79,1.01,4.05,58.24,-1.62,1.00,1.32,-0.56,1.209e-03,-0.22,-2.18,-1.51e-03,0.29,-0.68,5.6e-04,-0.36,7.58,266.39,0.56,0.59,0.18,0.12,0.13,0.22,0.11,0.04
7,68,0.83,0.89,2.64,-0.17,0.00,3.14,58.24,-1.62,1.00,1.32,-0.70,1.637e-03,-0.19,-1.07,-1.4e-04,-0.01,-1.14,1.09e-03,-0.32,0.51,277.91,0.53,0.61,0.19,0.16,0.17,0.18,0.09,0.04
7,74,1.06,0.88,100.00,-1.82,0.98,2.57,100.00,-1.57,0.96,1.40,-1.49,1.235e-03,-0.05,0.48,3.28e-03,-0.28,0.98,5.74e-03,-0.86,0.27,239.02,0.35,0.49,0.07,0.10,0.35,0.35,0.22,0.04
7,76,0.43,1.05,27.91,-1.05,0.81,4.60,100.00,-1.57,0.96,1.40,-1.25,1.38e-04,-0.09,-1.99,-2.6e-04,0.22,-1.46,1.5e-04,-0.20,1.55,1083.78,0.62,0.57,0.14,0.09,0.13,0.29,0.09,0.03
7,77,0.45,1.06,47.67,-1.21,0.66,8.49,100.00,-1.57,0.96,1.40,-1.20,4.806e-03,-0.16,0.08,0.02,-0.63,-1.09,-1.53e-03,-0.28,3.19,89.03,0.58,0.58,0.12,0.12,0.18,0.23,0.10,0.04
7,82,0.74,0.96,12.69,-0.95,0.81,3.36,100.00,-1.87,0.98,1.31,-2.83,-3.922e-03,0.40,-0.36,-5.6e-03,0.11,-0.15,7.7e-04,-0.52,0.60,193.52,0.43,0.57,0.05,0.13,0.36,0.24,0.15,0.03
7,86,0.49,1.02,33.43,-1.41,0.98,3.65,100.00,-1.87,0.98,1.31,-1.15,3.62e-04,-0.11,-1.13,4.2e-04,0.02,-1.50,7.7e-04,-0.22,0.71,1024.66,0.57,0.52,0.14,0.10,0.19,0.31,0.08,0.05
7,93,1.16,0.88,8.67,-1.04,0.95,1.24,100.00,-1.87,0.98,1.31,-2.51,-5.83e-04,0.14,-0.38,5.5e-04,-0.06,-2.40,-2.84e-03,0.02,5.12,225.13,0.55,0.57,0.06,0.08,0.32,0.30,0.05,0.03
7,94,1.16,0.88,8.67,-1.04,0.95,1.24,100.00,-1.87,0.98,1.31,-2.51,-5.83e-04,0.14,-0.38,5.5e-04,-0.06,-2.40,-2.84e-03,0.02,5.12,225.13,0.55,0.57,0.06,0.08,0.32,0.30,0.05,0.03
7,108,1.19,0.87,19.45,-1.32,0.98,1.24,100.00,-1.87,0.98,1.31,-2.47,-3.7e-04,0.12,-0.49,-1.1e-04,-0.02,-2.18,-1.81e-03,-0.04,5.12,162.00,0.55,0.57,0.06,0.08,0.32,0.30,0.05,0.03
7,132,2.61,0.73,29.99,-1.33,1.00,2.05,100.00,-1.87,0.98,1.31,-2.99,-6.84e-04,0.18,-2.06,-5.48e-03,0.22,-1.79,3.14e-03,-0.19,0.52,119.21,0.72,0.71,0.04,0.07,0.13,0.14,0.08,0.06
7,171,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11,2,0.90,0.85,7.14,-0.87,0.88,2.39,0.00,0.00,1.00,1.00,-1.76,3.46e-04,-0.04,-0.78,-2.0e-05,-0.10,-1.02,-8.3e-04,-0.12,0.24,325.31,0.54,0.65,0.08,0.09,0.20,0.16,0.15,0.08
11,3,1.02,0.84,8.04,-0.90,0.90,2.53,0.00,0.00,1.00,1.00,-1.36,2.25e-04,-0.12,-1.74,9.0e-04,-0.02,-1.63,2.5e-04,-0.14,0.42,501.73,0.65,0.68,0.13,0.09,0.10,0.15,0.10,0.06
11,4,9.60,0.46,88.89,-1.87,1.05,3.01,0.00,0.00,1.00,1.00,-1.84,1.997e-03,-0.14,-2.32,1.73e-03,0.08,-3.13,-2.0e-04,0.25,0.37,328.70,0.76,0.63,0.09,0.08,0.08,0.17,0.05,0.11
11,6,0.91,0.85,5.80,-0.81,0.88,2.48,0.00,0.00,1.00,1.00,-1.92,5.2e-05,-3.42e-03,-0.87,3.6e-04,-0.11,-1.17,1.6e-04,-0.17,0.29,390.94,0.58,0.66,0.08,0.09,0.19,0.16,0.13,0.07
11,8,1.02,0.84,8.04,-0.90,0.90,2.53,0.00,0.00,1.00,1.00,-1.36,2.25e-04,-0.12,-1.74,9.0e-04,-0.02,-1.63,2.5e-04,-0.14,0.42,501.73,0.65,0.68,0.13,0.09,0.10,0.15,0.10,0.06
11,13,0.82,0.87,1.72,-0.23,0.45,1.43,0.00,0.00,1.00,1.00,-2.16,-6.85e-04,0.07,-0.97,1.01e-03,-0.13,-1.61,3.7e-04,-0.18,21.30,454.22,0.66,0.68,0.09,0.09,0.16,0.17,0.07,0.05
11,14,1.46,0.76,17.95,-1.13,0.92,12.47,0.00,0.00,1.00,1.00,-1.96,-2.85e-04,-0.05,-1.99,-8.0e-05,0.10,-3.17,-2.5e-04,0.19,1.27,219.57,0.74,0.69,0.09,0.06,0.12,0.16,0.04,0.07
11,20,0.86,0.87,5.39,-0.82,0.89,3.47,0.00,0.00,1.00,1.00,-3.11,-2.531e-03,0.28,-1.80,-1.37e-03,0.03,-2.21,-2.22e-03,0.02,3.68,294.12,0.72,0.76,0.05,0.08,0.12,0.10,0.08,0.05
11,22,2.14,0.71,5.39,-0.82,0.89,3.47,0.00,0.00,1.00,1.00,-3.11,-2.531e-03,0.28,-1.80,-1.37e-03,0.03,-2.21,-2.22e-03,0.02,3.68,294.12,0.72,0.76,0.05,0.08,0.12,0.10,0.08,0.05
11,29,1.06,0.82,7.49,-0.80,0.84,2.67,0.00,0.00,1.00,1.00,-1.51,4.6e-05,-0.05,-1.56,-4.6e-04,0.03,-1.68,-2.2e-04,-0.09,0.30,395.45,0.63,0.67,0.12,0.11,0.14,0.14,0.09,0.06
11,37,1.21,0.83,1.87,-0.12,0.00,1.69,0.00,0.00,1.00,1.00,-1.77,1.7e-05,-0.02,-1.02,4.0e-04,-0.08,-1.61,3.3e-04,-0.16,3.70,421.96,0.62,0.67,0.10,0.09,0.18,0.17,0.08,0.05
11,44,0.98,0.84,4.61,-0.50,0.58,2.53,0.00,0.00,1.00,1.00,-1.88,-1.53e-04,-0.03,-0.85,1.56e-03,-0.23,-2.85,-2.22e-03,0.10,2.11,328.31,0.67,0.74,0.09,0.08,0.18,0.13,0.04,0.03
11,49,0.89,0.83,6.13,-0.83,0.89,2.60,0.00,0.00,1.00,1.00,-1.61,-8.0e-06,-0.04,-1.36,-3.2e-04,-0.02,-1.55,8.0e-05,-0.10,0.43,543.30,0.62,0.69,0.11,0.10,0.15,0.12,0.10,0.07
11,63,1.06,0.82,17.50,-1.12,0.94,3.57,0.00,0.00,1.00,1.00,-1.36,1.89e-04,-0.05,-1.66,4.2e-04,0.04,-2.85,-1.33e-03,0.04,0.45,552.84,0.66,0.64,0.15,0.12,0.13,0.20,0.04,0.02
11,65,0.81,0.87,17.28,-1.10,0.92,3.18,0.00,0.00,1.00,1.00,-1.23,5.8e-05,-0.08,-1.87,-2.7e-04,0.08,-2.49,-9.4e-04,-0.02,0.43,476.36,0.66,0.69,0.16,0.12,0.11,0.15,0.05,0.03
11,67,0.81,0.87,17.28,-1.10,0.92,3.18,0.00,0.00,1.00,1.00,-1.23,5.8e-05,-0.08,-1.87,-2.7e-04,0.08,-2.49,-9.4e-04,-0.02,0.43,476.36,0.66,0.69,0.16,0.12,0.11,0.15,0.05,0.03
11,68,1.11,0.84,14.63,-0.89,0.83,7.20,0.00,0.00,1.00,1.00,-1.06,2.6e-04,-0.11,-2.20,-7.6e-04,0.14,-1.20,1.05e-03,-0.39,1.01,510.49,0.63,0.70,0.17,0.13,0.09,0.13,0.09,0.03
11,74,0.90,0.90,7.15,-0.98,0.95,2.07,0.00,0.00,1.00,1.00,-1.79,4.7e-05,-0.02,-0.58,3.2e-04,-0.10,-2.19,-1.19e-03,-0.09,0.43,416.76,0.58,0.65,0.09,0.09,0.27,0.22,0.05,0.02
11,76,1.54,0.78,9.06,-0.94,0.92,2.39,0.00,0.00,1.00,1.00,-1.82,-1.41e-04,-7.5e-04,-1.16,6.5e-04,-0.04,-2.49,-1.28e-03,1.64e-03,0.33,331.40,0.65,0.66,0.10,0.10,0.18,0.20,0.05,0.03
11,77,1.47,0.78,100.00,-1.99,1.16,3.72,0.00,0.00,1.00,1.00,-1.72,5.91e-04,-0.03,-1.57,1.5e-04,0.01,-3.42,-4.36e-03,0.20,0.95,134.39,0.70,0.69,0.11,0.11,0.14,0.15,0.03,0.03
11,82,0.80,0.96,10.33,-1.12,0.98,2.11,0.00,0.00,1.00,1.00,-1.87,3.32e-04,-0.05,-0.82,-9.6e-04,-0.04,-1.98,-2.09e-03,-0.16,0.49,553.62,0.60,0.74,0.08,0.09,0.24,0.14,0.06,0.01
11,86,1.05,0.87,9.57,-0.99,0.94,2.38,0.00,0.00,1.00,1.00,-1.55,-1.34e-04,-0.08,-1.47,-2.7e-04,0.04,-2.30,-6.5e-04,-0.11,0.27,637.21,0.66,0.71,0.12,0.08,0.16,0.18,0.05,0.02
