"DefaultSPUID","DefaultForestTypeID","A","B","a_nonmerch","b_nonmerch","k_nonmerch","cap_nonmerch","a_sap","b_sap","k_sap","cap_sap","a1","a2","a3","b1","b2","b3","c1","c2","c3","min_volume","max_volume","low_stemwood_prop","high_stemwood_prop","low_stembark_prop","high_stembark_prop","low_branches_prop","high_branches_prop","low_foliage_prop","high_foliage_prop"
12,2,0.93,0.87,11.03,-0.96,0.92,2.56,1.00,0.00,0.00,1.00,-1.73,-1.953e-04,-0.02,-1.70,1.618e-04,0.05,-1.97,-1.473e-03,-0.04,1.34,460.50,0.66,0.68,0.11,0.09,0.13,0.18,0.08,0.03
12,3,0.95,0.89,14.92,-1.09,0.96,2.52,1.00,0.00,0.00,1.00,-1.66,-8.911e-04,-0.02,-2.00,1.276e-04,0.13,-2.73,-2.214e-03,-6.1e-03,0.44,594.07,0.70,0.68,0.12,0.06,0.11,0.23,0.04,0.01
13,1,1.01,0.85,5.84,-0.74,0.82,2.35,1.00,0.00,0.00,1.00,-1.48,8.329e-04,-0.11,-1.03,9.308e-04,-0.16,-0.72,8.72e-04,-0.24,0.24,275.40,0.56,0.67,0.10,0.10,0.15,0.11,0.18,0.10
13,2,1.20,0.81,13.91,-1.09,0.95,2.27,1.00,0.00,0.00,1.00,-1.75,5.38e-07,-0.01,-1.86,-1.284e-04,0.07,-1.45,-9.85e-04,-0.14,0.45,503.08,0.65,0.68,0.11,0.10,0.11,0.16,0.11,0.03
13,3,1.27,0.82,13.13,-1.12,0.97,2.19,1.00,0.00,0.00,1.00,-1.45,3.892e-04,-0.09,-2.25,-1.1334e-03,0.22,-1.90,-1.735e-03,-0.15,0.28,620.18,0.68,0.71,0.13,0.11,0.10,0.15,0.07,0.01
14,1,0.89,0.84,7.77,-1.00,0.96,2.41,1.00,0.00,0.00,1.00,-1.69,-4.413e-04,-0.01,-1.11,-7.713e-04,-0.05,-0.94,-1.812e-03,-0.07,0.24,247.27,0.54,0.66,0.09,0.09,0.16,0.13,0.18,0.10
14,2,1.20,0.81,13.91,-1.09,0.95,2.27,1.00,0.00,0.00,1.00,-1.75,5.38e-07,-0.01,-1.86,-1.284e-04,0.07,-1.45,-9.85e-04,-0.14,0.45,503.08,0.65,0.68,0.11,0.10,0.11,0.16,0.11,0.03
14,3,1.27,0.82,13.13,-1.12,0.97,2.19,1.00,0.00,0.00,1.00,-1.45,3.892e-04,-0.09,-2.25,-1.1334e-03,0.22,-1.90,-1.735e-03,-0.15,0.28,620.18,0.68,0.71,0.13,0.11,0.10,0.15,0.07,0.01
15,1,1.27,0.79,11.71,-1.05,0.95,2.32,1.00,0.00,0.00,1.00,-1.85,-1.829e-04,-0.01,-1.31,9.25e-04,-0.11,-1.22,-1.118e-03,-0.10,0.24,835.86,0.61,0.69,0.09,0.08,0.13,0.18,0.15,0.03
15,2,1.20,0.81,13.91,-1.09,0.95,2.27,1.00,0.00,0.00,1.00,-1.75,5.38e-07,-0.01,-1.86,-1.284e-04,0.07,-1.45,-9.85e-04,-0.14,0.45,503.08,0.65,0.68,0.11,0.10,0.11,0.16,0.11,0.03
15,3,1.27,0.82,13.13,-1.12,0.97,2.19,1.00,0.00,0.00,1.00,-1.45,3.892e-04,-0.09,-2.25,-1.1334e-03,0.22,-1.90,-1.735e-03,-0.15,0.28,620.18,0.68,0.71,0.13,0.11,0.10,0.15,0.07,0.01
16,1,1.16,0.82,10.28,-1.07,0.96,2.83,1.00,0.00,0.00,1.00,-1.35,3.799e-04,-0.17,-0.77,1.2207e-03,-0.28,0.01,1.03e-04,-0.44,0.18,789.03,0.50,0.74,0.09,0.08,0.14,0.13,0.24,0.04
16,2,0.80,0.89,10.08,-0.95,0.90,2.81,1.00,0.00,0.00,1.00,-1.43,5.594e-04,-0.09,-1.67,-1.2512e-03,0.02,-0.36,-1.363e-03,-0.36,0.22,436.34,0.56,0.74,0.11,0.12,0.10,0.09,0.21,0.03
16,3,1.01,0.85,8.43,-0.93,0.91,3.81,1.00,0.00,0.00,1.00,-1.48,3.42e-04,-0.04,-1.23,-7.836e-04,-0.06,-0.45,-1.044e-03,-0.45,0.29,571.15,0.56,0.74,0.11,0.15,0.14,0.09,0.16,0.01
17,1,0.96,0.84,8.42,-0.88,0.90,3.13,1.00,0.00,0.00,1.00,-1.59,3.825e-04,-0.07,-1.48,6.139e-04,-0.04,-1.08,-5.39e-04,-0.17,0.35,544.47,0.60,0.67,0.10,0.10,0.12,0.15,0.15,0.05
