"DefaultSPUID","DefaultForestTypeID","A","B","a_nonmerch","b_nonmerch","k_nonmerch","cap_nonmerch","a_sap","b_sap","k_sap","cap_sap","a1","a2","a3","b1","b2","b3","c1","c2","c3","min_volume","max_volume","low_stemwood_prop","high_stemwood_prop","low_stembark_prop","high_stembark_prop","low_branches_prop","high_branches_prop","low_foliage_prop","high_foliage_prop"
37,2,0.50,0.96,5.83,-0.61,0.75,3.28,0.00,0.00,1.00,1.00,-1.30,2.92e-05,-0.08,-1.52,-8.701e-04,-0.01,-1.16,-3.06e-04,-0.27,0.91,802.90,0.61,0.77,0.14,0.12,0.12,0.07,0.11,0.02
37,3,0.45,0.99,9.16,-0.66,0.67,4.47,0.00,0.00,1.00,1.00,-1.15,-2.116e-04,-0.03,-2.89,-8.582e-04,0.20,-2.47,-1.22e-04,-0.22,0.66,625.99,0.69,0.73,0.20,0.15,0.05,0.09,0.04,0.01
38,1,1.12,0.83,100.00,-1.38,1.06,9.05,0.00,0.00,1.00,1.00,-1.53,-1.075e-04,-0.07,-2.46,-9.811e-04,0.05,-1.62,-5.8e-05,-0.12,0.83,1509.40,0.69,0.82,0.13,0.08,0.06,0.02,0.10,0.06
38,2,1.12,0.84,33.08,-1.00,0.82,5.75,0.00,0.00,1.00,1.00,-1.50,-1.93e-05,-0.04,-0.71,3.19e-04,-0.31,-1.77,-1.32e-04,-0.15,0.60,2113.04,0.61,0.78,0.12,0.11,0.17,0.06,0.08,0.03
38,3,1.52,0.80,24.74,-0.79,0.61,5.97,0.00,0.00,1.00,1.00,-1.61,-1.178e-04,0.01,-1.79,-2.259e-04,-0.07,-2.03,-5.22e-04,-0.21,0.48,2000.14,0.69,0.80,0.14,0.13,0.10,0.04,0.06,7.13e-03
39,1,0.88,0.88,19.26,-0.75,0.62,4.99,0.00,0.00,1.00,1.00,-1.65,1.072e-04,-0.09,-0.53,-7.97e-05,-0.23,-0.31,-1.4e-04,-0.34,1.55,1542.23,0.52,0.79,0.08,0.09,0.19,0.07,0.19,0.03
39,2,0.77,0.90,19.86,-0.88,0.79,4.11,0.00,0.00,1.00,1.00,-1.28,-3.81e-05,-0.07,-1.72,-5.553e-04,0.01,-1.36,-1.76e-04,-0.23,2.31,1244.38,0.63,0.77,0.15,0.11,0.11,0.07,0.10,0.02
39,3,0.93,0.88,100.00,-1.44,0.97,5.66,0.00,0.00,1.00,1.00,-1.12,-9.5e-05,-0.04,-1.88,-6.211e-04,0.01,-2.43,-8.12e-04,-0.15,0.19,1374.28,0.65,0.77,0.19,0.16,0.10,0.05,0.04,7.11e-03
40,1,0.58,0.95,39.38,-1.24,1.13,5.99,0.00,0.00,1.00,1.00,-1.57,-2.332e-04,-0.05,-1.10,-8.366e-04,-0.05,-0.91,-7.3e-04,-0.17,0.20,1366.02,0.55,0.82,0.10,0.08,0.16,0.05,0.16,0.03
40,2,0.72,0.92,100.00,-1.26,1.01,10.23,1.00,0.00,0.00,1.00,-1.39,-1.502e-04,-0.07,-1.44,-5.951e-04,-0.05,-1.52,-4.67e-04,-0.17,0.66,1322.10,0.62,0.81,0.13,0.09,0.13,0.06,0.09,0.02
40,3,1.16,0.85,15.15,-0.61,0.40,2.82,0.00,0.00,1.00,1.00,-1.53,-3.84e-04,-8.77e-03,-2.11,-4.935e-04,0.05,-2.65,-6.9e-04,-0.09,0.53,898.22,0.71,0.78,0.15,0.11,0.09,0.08,0.04,0.01
41,1,0.56,0.94,12.55,-0.74,0.89,5.19,0.00,0.00,1.00,1.00,-1.35,4.18e-05,-0.08,0.15,-2.49e-05,-0.26,0.38,-5.4e-05,-0.38,0.41,5467.20,0.36,0.76,0.08,0.12,0.27,0.08,0.27,0.02
41,2,0.59,0.95,12.00,-0.97,0.99,3.84,1.00,0.00,0.00,1.00,-1.51,-1.203e-04,-0.04,-0.21,3.84e-05,-0.21,-0.27,-2.18e-04,-0.34,0.92,3528.99,0.46,0.77,0.09,0.07,0.25,0.12,0.18,0.01
41,3,0.51,0.98,24.93,-1.16,0.98,4.51,0.00,0.00,1.00,1.00,-1.25,-2.133e-04,-0.07,-1.23,-1.538e-04,-0.04,-1.71,-5.36e-04,-0.21,0.92,2370.61,0.60,0.80,0.15,0.07,0.16,0.11,0.07,7.7e-03
42,1,0.86,0.88,5.20,-0.56,0.81,3.13,0.00,0.00,1.00,1.00,-1.39,1.404e-04,-0.11,-0.49,8.16e-05,-0.20,-0.63,-1.38e-04,-0.25,0.16,5154.35,0.50,0.71,0.10,0.14,0.21,0.11,0.17,0.02
42,2,0.75,0.92,7.14,-0.69,0.88,3.24,0.00,0.00,1.00,1.00,-1.52,-1.463e-04,-0.04,-0.41,3.364e-04,-0.25,-0.74,-1.39e-04,-0.30,0.78,2399.78,0.52,0.74,0.10,0.08,0.22,0.14,0.14,0.02
42,3,0.77,0.92,26.23,-0.94,0.79,6.01,0.00,0.00,1.00,1.00,-1.51,-3.674e-04,-1.25e-03,-0.96,4.327e-04,-0.18,-1.57,-3.76e-04,-0.26,0.78,2369.50,0.61,0.74,0.13,0.06,0.16,0.17,0.08,8.05e-03
44,1,0.54,0.96,27.31,-1.11,0.95,5.64,1.00,0.00,0.00,1.00,-1.92,-6.819e-04,0.01,-2.19,-2.7955e-03,0.17,-2.03,-2.547e-03,0.05,1.48,376.10,0.69,0.76,0.10,0.09,0.10,0.08,0.09,0.05
44,2,0.54,0.97,18.93,-1.22,1.10,9.33,1.00,0.00,0.00,1.00,-1.63,-3.2499e-03,0.07,-2.74,-9.9977e-03,0.51,-2.10,-7.859e-03,0.11,1.81,216.80,0.64,0.76,0.14,0.10,0.11,0.09,0.09,0.03
44,3,0.60,0.96,42.58,-1.08,0.69,4.86,1.00,0.00,0.00,1.00,-2.20,-3.9694e-03,0.21,-2.98,-6.5755e-03,0.41,-3.02,-5.818e-03,0.10,14.10,203.62,0.70,0.76,0.14,0.12,0.11,0.09,0.04,0.01
45,1,0.54,0.96,27.31,-1.11,0.95,5.64,1.00,0.00,0.00,1.00,-1.92,-6.819e-04,0.01,-2.19,-2.7955e-03,0.17,-2.03,-2.547e-03,0.05,1.48,376.10,0.69,0.76,0.10,0.09,0.10,0.08,0.09,0.05
45,2,0.54,0.97,18.93,-1.22,1.10,9.33,1.00,0.00,0.00,1.00,-1.63,-3.2499e-03,0.07,-2.74,-9.9977e-03,0.51,-2.10,-7.859e-03,0.11,1.81,216.80,0.64,0.76,0.14,0.10,0.11,0.09,0.09,0.03
45,3,0.60,0.96,42.58,-1.08,0.69,4.86,1.00,0.00,0.00,1.00,-2.20,-3.9694e-03,0.21,-2.98,-6.5755e-03,0.41,-3.02,-5.818e-03,0.10,14.10,203.62,0.70,0.76,0.14,0.12,0.11,0.09,0.04,0.01
46,1,0.54,0.96,27.31,-1.11,0.95,5.64,1.00,0.00,0.00,1.00,-1.92,-6.819e-04,0.01,-2.19,-2.7955e-03,0.17,-2.03,-2.547e-03,0.05,1.48,376.10,0.69,0.76,0.10,0.09,0.10,0.08,0.09,0.05
46,2,0.54,0.97,18.93,-1.22,1.10,9.33,1.00,0.00,0.00,1.00,-1.63,-3.2499e-03,0.07,-2.74,-9.9977e-03,0.51,-2.10,-7.859e-03,0.11,1.81,216.80,0.64,0.76,0.14,0.10,0.11,0.09,0.09,0.03
46,3,0.60,0.96,42.58,-1.08,0.69,4.86,1.00,0.00,0.00,1.00,-2.20,-3.9694e-03,0.21,-2.98,-6.5755e-03,0.41,-3.02,-5.818e-03,0.10,14.10,203.62,0.70,0.76,0.14,0.12,0.11,0.09,0.04,0.01
47,1,0.54,0.96,27.31,-1.11,0.95,5.64,1.00,0.00,0.00,1.00,-1.92,-6.819e-04,0.01,-2.19,-2.7955e-03,0.17,-2.03,-2.547e-03,0.05,1.48,376.10,0.69,0.76,0.10,0.09,0.10,0.08,0.09,0.05
47,2,0.54,0.97,18.93,-1.22,1.10,9.33,1.00,0.00,0.00,1.00,-1.63,-3.2499e-03,0.07,-2.74,-9.9977e-03,0.51,-2.10,-7.859e-03,0.11,1.81,216.80,0.64,0.76,0.14,0.10,0.11,0.09,0.09,0.03
47,3,0.60,0.96,42.58,-1.08,0.69,4.86,1.00,0.00,0.00,1.00,-2.20,-3.9694e-03,0.21,-2.98,-6.5755e-03,0.41,-3.02,-5.818e-03,0.10,14.10,203.62,0.70,0.76,0.14,0.12,0.11,0.09,0.04,0.01
50,1,1.13,0.81,2.35,-0.28,0.45,2.36,0.00,0.00,1.00,1.00,-1.91,-2.66e-04,-1.74e-03,-2.73,-2.5689e-03,0.14,-1.72,6.3e-05,-0.11,0.21,509.04,0.72,0.79,0.10,0.10,0.05,0.03,0.10,0.06
50,2,0.90,0.86,100.00,-1.44,0.93,1.38,0.00,0.00,1.00,1.00,-5.33,-3.0037e-03,0.77,-1.18,-2.1472e-03,-0.13,-1.66,1.163e-03,-0.25,82.95,450.43,0.75,0.79,0.09,0.11,0.10,0.03,0.05,0.05
50,3,0.57,0.93,20.51,-0.93,0.77,2.66,0.00,0.00,1.00,1.00,-1.51,-1.543e-04,-4.31e-03,-7.61,-3.3172e-03,1.14,-4.44,-3.085e-03,0.33,28.24,451.74,0.78,0.74,0.16,0.14,0.01,0.09,0.02,0.01
51,1,0.61,0.94,15.28,-0.72,0.65,5.67,0.00,0.00,1.00,1.00,-1.53,3.56e-05,-0.12,-1.56,-5.977e-04,-0.06,-1.32,-1.265e-03,-0.15,0.52,658.35,0.63,0.80,0.11,0.08,0.12,0.07,0.13,0.03
51,2,0.50,0.96,5.83,-0.61,0.75,3.28,0.00,0.00,1.00,1.00,-1.30,2.92e-05,-0.08,-1.52,-8.701e-04,-0.01,-1.16,-3.06e-04,-0.27,0.91,802.90,0.61,0.77,0.14,0.12,0.12,0.07,0.11,0.02
51,3,0.45,0.99,9.16,-0.66,0.67,4.47,0.00,0.00,1.00,1.00,-1.15,-2.116e-04,-0.03,-2.89,-8.582e-04,0.20,-2.47,-1.22e-04,-0.22,0.66,625.99,0.69,0.73,0.20,0.15,0.05,0.09,0.04,0.01
52,1,0.61,0.94,15.28,-0.72,0.65,5.67,0.00,0.00,1.00,1.00,-1.53,3.56e-05,-0.12,-1.56,-5.977e-04,-0.06,-1.32,-1.265e-03,-0.15,0.52,658.35,0.63,0.80,0.11,0.08,0.12,0.07,0.13,0.03
52,2,0.50,0.96,5.83,-0.61,0.75,3.28,0.00,0.00,1.00,1.00,-1.30,2.92e-05,-0.08,-1.52,-8.701e-04,-0.01,-1.16,-3.06e-04,-0.27,0.91,802.90,0.61,0.77,0.14,0.12,0.12,0.07,0.11,0.02
52,3,0.45,0.99,9.16,-0.66,0.67,4.47,0.00,0.00,1.00,1.00,-1.15,-2.116e-04,-0.03,-2.89,-8.582e-04,0.20,-2.47,-1.22e-04,-0.22,0.66,625.99,0.69,0.73,0.20,0.15,0.05,0.09,0.04,0.01
53,1,1.13,0.81,2.35,-0.28,0.45,2.36,1.00,0.00,0.00,1.00,-1.91,-2.66e-04,-1.74e-03,-2.73,-2.5689e-03,0.14,-1.72,6.3e-05,-0.11,0.21,509.04,0.72,0.79,0.10,0.10,0.05,0.03,0.10,0.06
53,2,0.90,0.86,100.00,-1.44,0.93,1.38,1.00,0.00,0.00,1.00,-5.33,-3.0037e-03,0.77,-1.18,-2.1472e-03,-0.13,-1.66,1.163e-03,-0.25,82.95,450.43,0.75,0.79,0.09,0.11,0.10,0.03,0.05,0.05
53,3,0.57,0.93,20.51,-0.93,0.77,2.66,1.00,0.00,0.00,1.00,-1.51,-1.543e-04,-4.31e-03,-7.61,-3.3172e-03,1.14,-4.44,-3.085e-03,0.33,28.24,451.74,0.78,0.74,0.16,0.14,0.01,0.09,0.02,0.01
54,1,0.54,0.96,27.31,-1.11,0.95,5.64,1.00,0.00,0.00,1.00,-1.92,-6.819e-04,0.01,-2.19,-2.7955e-03,0.17,-2.03,-2.547e-03,0.05,1.48,376.10,0.69,0.76,0.10,0.09,0.10,0.08,0.09,0.05
54,2,0.54,0.97,18.93,-1.22,1.10,9.33,1.00,0.00,0.00,1.00,-1.63,-3.2499e-03,0.07,-2.74,-9.9977e-03,0.51,-2.10,-7.859e-03,0.11,1.81,216.80,0.64,0.76,0.14,0.10,0.11,0.09,0.09,0.03
54,3,0.60,0.96,42.58,-1.08,0.69,4.86,1.00,0.00,0.00,1.00,-2.20,-3.9694e-03,0.21,-2.98,-6.5755e-03,0.41,-3.02,-5.818e-03,0.10,14.10,203.62,0.70,0.76,0.14,0.12,0.11,0.09,0.04,0.01
58,1,0.89,0.84,7.77,-1.00,0.96,2.41,1.00,0.00,0.00,1.00,-1.69,-4.413e-04,-0.01,-1.11,-7.713e-04,-0.05,-0.94,-1.812e-03,-0.07,0.24,247.27,0.54,0.66,0.09,0.09,0.16,0.13,0.18,0.10
58,2,0.63,0.92,12.25,-1.64,1.01,1.85,1.00,0.00,0.00,1.00,-1.51,3.14e-04,-0.05,-0.99,2.441e-04,-0.16,-0.16,8.08e-04,-0.47,0.31,529.19,0.53,0.71,0.10,0.12,0.15,0.10,0.20,0.04
58,3,0.59,0.94,11.79,-1.40,0.99,2.10,1.00,0.00,0.00,1.00,-1.23,2.12e-04,-0.09,-1.15,-9.56e-05,-0.12,-0.29,9.57e-04,-0.59,0.36,703.92,0.56,0.74,0.14,0.13,0.14,0.09,0.15,0.02
59,1,0.89,0.84,7.77,-1.00,0.96,2.41,1.00,0.00,0.00,1.00,-1.69,-4.413e-04,-0.01,-1.11,-7.713e-04,-0.05,-0.94,-1.812e-03,-0.07,0.24,247.27,0.54,0.66,0.09,0.09,0.16,0.13,0.18,0.10
59,2,0.63,0.92,12.25,-1.64,1.01,1.85,1.00,0.00,0.00,1.00,-1.51,3.14e-04,-0.05,-0.99,2.441e-04,-0.16,-0.16,8.08e-04,-0.47,0.31,529.19,0.53,0.71,0.10,0.12,0.15,0.10,0.20,0.04
59,3,0.59,0.94,11.79,-1.40,0.99,2.10,1.00,0.00,0.00,1.00,-1.23,2.12e-04,-0.09,-1.15,-9.56e-05,-0.12,-0.29,9.57e-04,-0.59,0.36,703.92,0.56,0.74,0.14,0.13,0.14,0.09,0.15,0.02
