"DefaultSPUID","DefaultGenusID","A","B","a_nonmerch","b_nonmerch","k_nonmerch","cap_nonmerch","a_sap","b_sap","k_sap","cap_sap","a1","a2","a3","b1","b2","b3","c1","c2","c3","min_volume","max_volume","low_stemwood_prop","high_stemwood_prop","low_stembark_prop","high_stembark_prop","low_branches_prop","high_branches_prop","low_foliage_prop","high_foliage_prop"
6,13,0.58,0.95,38.25,-1.56,0.99,4.50,0.00,0.00,1.00,1.00,0.06,2.7884e-03,-0.46,0.12,7.449e-04,-0.25,0.81,-6.67e-04,-0.63,0.87,472.97,0.34,0.62,0.16,0.14,0.24,0.20,0.25,0.02
7,1,0.65,0.90,8.65,-1.16,1.00,2.57,7.36,-1.49,0.99,1.19,-1.29,1.8363e-03,-0.14,-0.37,5.85e-04,-0.12,0.14,-6.38e-04,-0.32,0.23,315.23,0.40,0.56,0.08,0.12,0.22,0.23,0.27,0.08
7,2,0.87,0.89,16.73,-1.23,0.96,2.70,0.00,0.00,1.00,1.00,-1.87,-7.05e-05,-0.06,-1.38,6.155e-04,0.04,-1.41,6.77e-04,-0.14,0.37,608.22,0.62,0.58,0.08,0.05,0.16,0.27,0.11,0.08
7,3,0.40,1.01,8.01,-0.82,0.87,3.29,24.79,-1.61,1.01,1.36,-0.90,5.38e-04,-0.15,-1.62,6.139e-04,0.10,-0.41,1.477e-03,-0.31,0.18,1001.15,0.51,0.42,0.16,0.10,0.12,0.33,0.20,0.13
7,6,0.52,0.96,23.91,-0.70,0.00,7.86,0.00,0.00,1.00,1.00,-1.33,-7.31e-06,-0.15,0.23,4.5772e-03,-0.38,-1.02,4.52e-04,-0.27,2.28,197.30,0.50,0.62,0.09,0.07,0.29,0.24,0.10,0.05
7,7,0.78,0.84,3.55,-0.89,0.96,3.92,100.00,-2.57,1.00,1.04,-1.41,-4.143e-04,-0.04,-0.31,6.86e-05,-0.15,-0.79,1.663e-03,-0.23,1.70,385.42,0.48,0.59,0.10,0.09,0.26,0.18,0.13,0.12
7,8,0.76,0.87,9.08,-1.08,0.95,2.72,0.00,0.00,1.00,1.00,-1.36,5.622e-04,-0.09,-0.84,1.964e-04,-0.03,-0.26,7.2e-05,-0.26,0.18,608.22,0.47,0.57,0.10,0.11,0.19,0.22,0.23,0.08
7,9,0.28,1.11,22.18,-1.05,0.87,4.81,58.24,-1.62,1.00,1.32,-0.91,3.582e-04,-0.13,-2.68,-7.285e-04,0.32,-1.63,-3.7e-04,-0.18,0.51,1013.40,0.63,0.63,0.20,0.14,0.07,0.19,0.08,0.02
7,10,0.46,1.04,38.07,-1.22,0.90,4.43,100.00,-1.57,0.96,1.40,-1.38,2.92e-05,-0.05,-2.01,-5.496e-04,0.27,-1.24,2.9e-04,-0.25,0.27,1083.78,0.61,0.57,0.13,0.09,0.13,0.29,0.11,0.03
7,11,0.60,0.99,26.14,-1.32,0.97,3.56,100.00,-1.87,0.98,1.31,-1.10,2.63e-05,-0.08,0.40,5.701e-04,-0.23,-0.78,1.176e-03,-0.39,0.60,1024.66,0.39,0.55,0.11,0.10,0.39,0.28,0.09,0.05
7,12,1.16,0.88,8.67,-1.04,0.95,1.24,100.00,-1.87,0.98,1.31,-2.51,-5.833e-04,0.14,-0.38,5.509e-04,-0.06,-2.40,-2.835e-03,0.02,5.12,225.13,0.55,0.57,0.06,0.08,0.32,0.30,0.05,0.03
7,13,0.54,1.02,34.59,-1.28,0.95,4.09,100.00,-1.87,0.98,1.31,-1.34,2.58e-05,-0.04,-0.97,-2.549e-04,0.05,-0.90,8.4e-04,-0.40,0.27,1083.78,0.53,0.59,0.12,0.11,0.22,0.24,0.11,0.03
11,1,0.89,0.86,7.37,-0.90,0.91,2.46,0.00,0.00,1.00,1.00,-1.80,5.25e-05,-0.03,-0.94,-1.942e-04,-0.09,-1.28,-1.323e-03,-0.09,0.24,501.73,0.57,0.70,0.09,0.09,0.19,0.14,0.13,0.05
11,2,0.92,0.85,10.54,-1.10,0.95,5.56,0.00,0.00,1.00,1.00,-2.24,-3.797e-04,0.05,-0.54,1.4981e-03,-0.26,-2.06,-4.81e-04,-0.06,1.27,454.22,0.62,0.70,0.07,0.08,0.22,0.15,0.07,0.04
11,3,1.06,0.82,7.49,-0.80,0.84,2.67,0.00,0.00,1.00,1.00,-1.51,4.61e-05,-0.05,-1.56,-4.649e-04,0.03,-1.68,-2.17e-04,-0.09,0.30,395.45,0.63,0.67,0.12,0.11,0.14,0.14,0.09,0.06
11,4,1.21,0.83,1.87,-0.12,0.00,1.69,0.00,0.00,1.00,1.00,-1.77,1.66e-05,-0.02,-1.02,3.959e-04,-0.08,-1.61,3.34e-04,-0.16,3.70,421.96,0.62,0.67,0.10,0.09,0.18,0.17,0.08,0.05
11,6,0.98,0.84,4.61,-0.50,0.58,2.53,0.00,0.00,1.00,1.00,-1.88,-1.534e-04,-0.03,-0.85,1.5556e-03,-0.23,-2.85,-2.222e-03,0.10,2.11,328.31,0.67,0.74,0.09,0.08,0.18,0.13,0.04,0.03
11,7,0.89,0.83,6.13,-0.83,0.89,2.60,0.00,0.00,1.00,1.00,-1.61,-7.73e-06,-0.04,-1.36,-3.238e-04,-0.02,-1.55,7.8e-05,-0.10,0.43,543.30,0.62,0.69,0.11,0.10,0.15,0.12,0.10,0.07
11,8,0.98,0.82,6.46,-0.80,0.86,2.67,0.00,0.00,1.00,1.00,-1.84,-3.634e-04,0.01,-1.07,-1.929e-04,-0.08,-1.12,-4.06e-04,-0.15,0.24,543.30,0.58,0.70,0.09,0.10,0.17,0.12,0.14,0.06
