"SpeciesTypeID","SpeciesTypeName","ForestTypeID","GenusID","CanFI_Code","CoarseRootTurnProp","FineRootTurnPropIntercept","FineRootTurnPropSlope","HwoodDecayMultiplier","SlopeRootToTotal","InterceptRootToTotal","BranchesToBranchSnag"
110,"White oak",3,12,2101,0.02,0.00,0.64,1.00,0.00,0.00,0.25
111,"Swamp white oak",3,12,2102,0.02,0.00,0.64,1.00,0.00,0.00,0.25
112,"Garry oak",3,12,2103,0.02,0.00,0.64,1.00,0.00,0.00,0.25
113,"Bur oak",3,12,2104,0.02,0.00,0.64,1.00,0.00,0.00,0.25
114,"Pin oak",3,12,2105,0.02,0.00,0.64,1.00,0.00,0.00,0.25
115,"Chinquapin oak",3,12,2106,0.02,0.00,0.64,1.00,0.00,0.00,0.25
116,"Chestnut oak",3,12,2107,0.02,0.00,0.64,1.00,0.00,0.00,0.25
117,"Red oak",3,12,2108,0.02,0.00,0.64,1.00,0.00,0.00,0.25
118,"Black oak",3,12,2109,0.02,0.00,0.64,1.00,0.00,0.00,0.25
119,"Northern pin oak",3,12,2110,0.02,0.00,0.64,1.00,0.00,0.00,0.25
120,"Shumard oak",3,12,2111,0.02,0.00,0.64,1.00,0.00,0.00,0.25
121,"Elm",3,12,2200,0.02,0.00,0.64,1.00,0.00,0.00,0.25
122,"White elm",3,12,2201,0.02,0.00,0.64,1.00,0.00,0.00,0.25
123,"Slippery elm",3,12,2202,0.02,0.00,0.64,1.00,0.00,0.00,0.25
124,"Rock elm",3,12,2203,0.02,0.00,0.64,1.00,0.00,0.00,0.25
125,"Red mulberry",3,12,2300,0.02,0.00,0.64,1.00,0.00,0.00,0.25
126,"Tulip-tree",3,12,2400,0.02,0.00,0.64,1.00,0.00,0.00,0.25
127,"Cucumber-tree",3,12,2500,0.02,0.00,0.64,1.00,0.00,0.00,0.25
128,"Sassafras",3,12,2600,0.02,0.00,0.64,1.00,0.00,0.00,0.25
129,"Sycamore",3,12,2700,0.02,0.00,0.64,1.00,0.00,0.00,0.25
130,"Cherry",3,12,2800,0.02,0.00,0.64,1.00,0.00,0.00,0.25
131,"Black Cherry",3,12,2801,0.02,0.00,0.64,1.00,0.00,0.00,0.25
132,"Pin cherry",3,12,2802,0.02,0.00,0.64,1.00,0.00,0.00,0.25
133,"Bitter cherry",3,12,2803,0.02,0.00,0.64,1.00,0.00,0.00,0.25
134,"Choke cherry",3,12,2804,0.02,0.00,0.64,1.00,0.00,0.00,0.25
135,"Honey-locust",3,12,2900,0.02,0.00,0.64,1.00,0.00,0.00,0.25
136,"Basswood",3,12,3000,0.02,0.00,0.64,1.00,0.00,0.00,0.25
137,"Black-gum",3,12,3100,0.02,0.00,0.64,1.00,0.00,0.00,0.25
138,"Flowering dogwood",3,12,3200,0.02,0.00,0.64,1.00,0.00,0.00,0.25
139,"Eastern flowering dogwood",3,12,3201,0.02,0.00,0.64,1.00,0.00,0.00,0.25
140,"Western flowering dogwood",3,12,3202,0.02,0.00,0.64,1.00,0.00,0.00,0.25
141,"Alternate-leaf dogwood",3,12,3203,0.02,0.00,0.64,1.00,0.00,0.00,0.25
142,"Arbutus",3,12,3300,0.02,0.00,0.64,1.00,0.00,0.00,0.25
143,"Ash",3,12,3400,0.02,0.00,0.64,1.00,0.00,0.00,0.25
145,"White ash",3,12,3401,0.02,0.00,0.64,1.00,0.00,0.00,0.25
146,"Black ash",3,12,3402,0.02,0.00,0.64,1.00,0.00,0.00,0.25
147,"Red ash",3,12,3403,0.02,0.00,0.64,1.00,0.00,0.00,0.25
148,"Northern red ash",3,12,3404,0.02,0.00,0.64,1.00,0.00,0.00,0.25
149,"Green ash",3,12,3405,0.02,0.00,0.64,1.00,0.00,0.00,0.25
150,"Blue ash",3,12,3406,0.02,0.00,0.64,1.00,0.00,0.00,0.25
151,"Oregon ash",3,12,3407,0.02,0.00,0.64,1.00,0.00,0.00,0.25
152,"Pumpkin ash",3,12,3408,0.02,0.00,0.64,1.00,0.00,0.00,0.25
153,"Willow",3,12,3500,0.02,0.00,0.64,1.00,0.00,0.00,0.25
154,"Black willow",3,12,3501,0.02,0.00,0.64,1.00,0.00,0.00,0.25
155,"Peachleaf willow",3,12,3502,0.02,0.00,0.64,1.00,0.00,0.00,0.25
156,"Pacific willow",3,12,3503,0.02,0.00,0.64,1.00,0.00,0.00,0.25
157,"Crack willow",3,12,3504,0.02,0.00,0.64,1.00,0.00,0.00,0.25
158,"Shining willow",3,12,3505,0.02,0.00,0.64,1.00,0.00,0.00,0.25
159,"Kentucky coffee tree",3,12,3600,0.02,0.00,0.64,1.00,0.00,0.00,0.25
160,"Hackberry",3,12,3700,0.02,0.00,0.64,1.00,0.00,0.00,0.25
161,"Serviceberry",3,12,3800,0.02,0.00,0.64,1.00,0.00,0.00,0.25
162,"Beaked hazel",3,12,3900,0.02,0.00,0.64,1.00,0.00,0.00,0.25
163,"Hawthorn",3,12,3910,0.02,0.00,0.64,1.00,0.00,0.00,0.25
164,"Common winterberry",3,12,3920,0.02,0.00,0.64,1.00,0.00,0.00,0.25
165,"Apple",3,12,3930,0.02,0.00,0.64,1.00,0.00,0.00,0.25
166,"Mountain-holly",3,12,3940,0.02,0.00,0.64,1.00,0.00,0.00,0.25
167,"Staghorn sumac",3,12,3950,0.02,0.00,0.64,1.00,0.00,0.00,0.25
